x, y, z, mag, wma, label
1.7859248,-4.7058034,8.17186,9.597572782756716,0.48858913854616404,1
1.788319,-4.7656584,8.157495,9.615315903638207,0.38716608589365065,1
1.80029,-4.7536874,8.169465,9.621785209115384,0.29694931527978163,1
1.7021278,-4.6842556,8.18383,9.58199183708262,0.2205525018185857,1
1.7595886,-4.6938324,8.167071,9.582758966455312,0.15511906518644217,1
1.6901568,-4.724957,8.20059,9.614131587620488,0.10201558719990021,1
1.7140988,-4.6339774,8.140735,9.522785367848494,0.060660548535385474,1
1.6542437,-4.638766,8.112004,9.489956817367917,0.031173244312674504,1
1.6662147,-4.698621,8.229321,9.621591732443251,0.012883921974585818,1
1.6446669,-4.7081976,8.272416,9.659447396783651,0.005195336005991351,1
1.6901568,-4.7177744,8.157495,9.573856964808758,0.005947912286002801,1
1.7476176,-4.6962266,8.241291,9.645081020428236,0.0062669424953135325,1
1.6279075,-4.667496,8.1551,9.536312372301433,0.0070898693359761865,1
1.6662147,-4.6962266,8.205379,9.599950917436376,0.006316160899795333,1
1.7308582,-4.662708,8.0545435,9.466382023288508,0.0071072146864624795,1
1.7212814,-4.712986,8.207772,9.61990499025247,0.006852820590115172,1
1.7188872,-4.7297454,8.191013,9.613415769451962,0.006115639301599939,1
1.8505683,-4.818331,8.186225,9.677561528791987,0.007766208953411318,1
1.7715596,-4.638766,8.159888,9.55198140785031,0.00940862856742292,1
1.7978958,-4.68665,8.214955,9.62718037271095,0.008254575646140093,1
1.7548002,-4.7058034,8.162283,9.583672116690678,0.007814772032347499,1
1.6781857,-4.823119,8.447192,9.870858011876425,0.008916236893886337,1
2.121113,-4.3179426,7.9970827,9.332581444381594,0.018811803438076296,1
2.511368,-3.9228995,8.222137,9.449849316238295,0.027703891270358758,1
2.0540755,-4.571728,8.782381,10.111881375812125,0.0373623866231408,1
2.0397103,-3.7576995,9.088839,10.044287459610516,0.0483132895040197,1
0.5553052,-3.7002387,8.79914,9.5616418790061,0.06878087930649716,1
0.5816414,-3.393781,9.194183,9.817793080632791,0.06806300818867389,1
0.5337573,-3.4799721,8.475923,9.178037168805357,0.06527187435520805,1
1.8984523,-4.0665517,8.801535,9.879674650078627,0.08136525528386632,1
2.0205567,-3.630807,8.442404,9.409548159057223,0.07546727627914639,1
2.0804117,-3.6284127,8.535778,9.505419339838294,0.0637833334130989,1
2.5281274,-4.380192,8.480711,9.87420728374799,0.0661023298391021,1
2.1378725,-4.238934,8.437615,9.681549804458527,0.06002300906862022,1
2.5496752,-4.5262384,8.250868,9.750102507223563,0.057454177612586844,1
2.2025158,-4.0880995,8.463952,9.654124399443063,0.05633739717426283,1
2.2504,-4.325125,8.315512,9.639437065941257,0.04995228946103356,1
2.1905448,-4.2461166,8.387338,9.652742112884377,0.04265095813083948,1
2.1857564,-4.253299,8.337059,9.611172738977125,0.03419541690601661,1
2.1833622,-4.3658266,8.243686,9.580494026076703,0.028482836590819325,1
2.180968,-4.3059716,8.29157,9.594172266511176,0.023800038754214083,1
2.2001216,-4.325125,8.248474,9.569982456043709,0.019023399270070532,1
2.1546319,-4.332308,8.281993,9.59180582333883,0.014420352987678292,1
2.1498435,-4.334702,8.322694,9.626977890704095,0.01061688057047796,1
2.2144868,-4.373009,8.270021,9.613553858258898,0.008772819936684089,1
2.1905448,-4.4400473,8.191013,9.571060637212128,0.00788327941743734,1
2.1713912,-4.404134,8.219744,9.574733513293513,0.007008409115030523,1
2.1977274,-4.406528,8.222137,9.583895017224044,0.00611094512983653,1
2.216881,-4.408922,8.279598,9.638719169400181,0.0054078523113961306,1
2.1043537,-4.425682,8.205379,9.55736408812536,0.006282742780414339,1
